iter	Passed	Remaining
0	31	6341
1	76	7611
2	129	8521
3	177	8717
4	225	8793
5	267	8648
6	313	8642
7	367	8822
8	428	9097
9	487	9255
10	563	9675
11	624	9787
12	683	9830
13	733	9748
14	787	9715
15	850	9783
16	914	9840
17	975	9858
18	1017	9690
19	1124	10123
20	1191	10152
21	1259	10193
22	1527	11758
23	1894	13894
24	1955	13685
25	2027	13568
26	2110	13522
27	2214	13600
28	2292	13518
29	2361	13382
30	2397	13071
31	2510	13181
32	2635	13336
33	2712	13241
34	2894	13647
35	2987	13610
36	3174	13984
37	3365	14347
38	3445	14223
39	3726	14906
40	3870	15010
41	4036	15183
42	4119	15042
43	4184	14834
44	4236	14591
45	4297	14386
46	4354	14175
47	4405	13950
48	4463	13754
49	4516	13549
50	4596	13427
51	4653	13245
52	4715	13080
53	4778	12919
54	4847	12779
55	4910	12627
56	4957	12436
57	5017	12283
58	5068	12112
59	5115	11935
60	5168	11776
61	5231	11643
62	5289	11502
63	5348	11365
64	5406	11228
65	5457	11081
66	5508	10934
67	5552	10779
68	5601	10635
69	5652	10498
70	5704	10363
71	5754	10229
72	5813	10114
73	5873	10001
74	5980	9968
75	6036	9849
76	6102	9748
77	6164	9642
78	6213	9517
79	6264	9396
80	6318	9282
81	6374	9173
82	6434	9070
83	6496	8972
84	6569	8887
85	6621	8776
86	6677	8672
87	6730	8565
88	6780	8456
89	6842	8363
90	6896	8260
91	6958	8168
92	7015	8071
93	7127	8037
94	7191	7948
95	7241	7844
96	7295	7746
97	7360	7661
98	7425	7575
99	7480	7480
100	7537	7388
101	7587	7290
102	7647	7201
103	7728	7133
104	7806	7062
105	7889	6996
106	7955	6914
107	8009	6822
108	8065	6733
109	8120	6644
110	8227	6597
111	8284	6509
112	8342	6423
113	8395	6333
114	8447	6244
115	8518	6168
116	8577	6085
117	8640	6004
118	8687	5913
119	8734	5822
120	8788	5737
121	8919	5702
122	8979	5621
123	9124	5592
124	9266	5559
125	9323	5475
126	9366	5384
127	9407	5291
128	9460	5206
129	9515	5123
130	9565	5038
131	9608	4950
132	9653	4863
133	9749	4802
134	9809	4722
135	9934	4674
136	9983	4590
137	10074	4526
138	10295	4518
139	10440	4474
140	10630	4448
141	10720	4378
142	10789	4300
143	10851	4220
144	10902	4135
145	10964	4055
146	11047	3983
147	11140	3914
148	11194	3831
149	11236	3745
150	11309	3669
151	11364	3588
152	11409	3504
153	11451	3420
154	11500	3338
155	11544	3256
156	11585	3173
157	11628	3091
158	11670	3009
159	11713	2928
160	11752	2846
161	11796	2767
162	11838	2687
163	11881	2608
164	11982	2541
165	12063	2470
166	12130	2396
167	12197	2323
168	12258	2248
169	12311	2172
170	12363	2096
171	12425	2022
172	12494	1950
173	12556	1876
174	12679	1811
175	12748	1738
176	12826	1666
177	12895	1593
178	13015	1526
179	13072	1452
180	13110	1376
181	13155	1301
182	13203	1226
183	13241	1151
184	13301	1078
185	13346	1004
186	13392	931
187	13452	858
188	13520	786
189	13563	713
190	13610	641
191	13662	569
192	13719	497
193	13784	426
194	13850	355
195	13906	283
196	13956	212
197	14004	141
198	14041	70
199	14079	0
