iter	Passed	Remaining
0	25	4998
1	60	5971
2	95	6282
3	129	6322
4	172	6708
5	210	6810
6	253	6987
7	285	6861
8	309	6564
9	346	6591
10	384	6609
11	421	6602
12	460	6625
13	497	6611
14	548	6762
15	576	6635
16	607	6536
17	638	6451
18	663	6317
19	696	6272
20	729	6217
21	762	6172
22	796	6133
23	837	6143
24	879	6155
25	921	6168
26	957	6132
27	996	6121
28	1036	6114
29	1074	6087
30	1089	5937
31	1124	5902
32	1161	5877
33	1203	5875
34	1240	5847
35	1269	5784
36	1298	5720
37	1329	5667
38	1358	5609
39	1386	5546
40	1409	5466
41	1449	5454
42	1487	5431
43	1526	5413
44	1563	5383
45	1593	5336
46	1622	5282
47	1658	5253
48	1694	5223
49	1735	5205
50	1782	5206
51	1822	5188
52	1864	5172
53	1902	5142
54	1936	5104
55	1970	5068
56	1995	5006
57	2033	4978
58	2066	4938
59	2105	4912
60	2140	4877
61	2178	4848
62	2214	4816
63	2248	4778
64	2286	4749
65	2320	4711
66	2347	4659
67	2380	4620
68	2409	4574
69	2445	4541
70	2476	4499
71	2508	4459
72	2542	4423
73	2574	4384
74	2607	4346
75	2642	4311
76	2682	4285
77	2745	4293
78	2786	4267
79	2813	4220
80	2849	4186
81	2884	4150
82	2921	4118
83	2958	4086
84	2997	4055
85	3032	4019
86	3072	3990
87	3107	3955
88	3143	3920
89	3170	3875
90	3207	3842
91	3245	3809
92	3283	3777
93	3323	3748
94	3360	3714
95	3398	3681
96	3436	3649
97	3473	3615
98	3509	3580
99	3542	3542
100	3572	3502
101	3600	3459
102	3633	3422
103	3668	3386
104	3703	3350
105	3738	3315
106	3778	3283
107	3816	3251
108	3849	3213
109	3888	3181
110	3923	3145
111	3961	3112
112	3996	3077
113	4027	3037
114	4058	2999
115	4091	2962
116	4123	2925
117	4155	2887
118	4191	2853
119	4221	2814
120	4253	2776
121	4283	2738
122	4311	2699
123	4338	2659
124	4370	2622
125	4404	2586
126	4437	2550
127	4471	2515
128	4504	2479
129	4532	2440
130	4562	2402
131	4594	2366
132	4633	2334
133	4672	2301
134	4706	2266
135	4743	2232
136	4783	2199
137	4825	2167
138	4858	2132
139	4925	2110
140	5045	2111
141	5103	2084
142	5132	2045
143	5163	2008
144	5197	1971
145	5231	1935
146	5266	1898
147	5301	1862
148	5335	1826
149	5364	1788
150	5393	1750
151	5425	1713
152	5454	1675
153	5481	1637
154	5512	1600
155	5546	1564
156	5576	1527
157	5611	1491
158	5647	1456
159	5686	1421
160	5726	1387
161	5766	1352
162	5807	1318
163	5845	1283
164	5884	1248
165	5914	1211
166	5947	1175
167	5986	1140
168	6018	1104
169	6050	1067
170	6083	1031
171	6112	995
172	6143	958
173	6177	923
174	6209	887
175	6237	850
176	6265	814
177	6297	778
178	6327	742
179	6359	706
180	6391	670
181	6423	635
182	6452	599
183	6483	563
184	6510	527
185	6538	492
186	6565	456
187	6597	421
188	6625	385
189	6664	350
190	6695	315
191	6733	280
192	6770	245
193	6809	210
194	6846	175
195	6884	140
196	6925	105
197	6963	70
198	6995	35
199	7033	0
